f(n) = 0g(n) = 0,h(n) = 10, state = 3 0 1 4 2 6 5 7
f(n) = 0g(n) = 1,h(n) = 9, state = 3 1 0 4 2 6 5 7
f(n) = 0g(n) = 2,h(n) = 8, state = 3 1 4 0 2 6 5 7
f(n) = 0g(n) = 3,h(n) = 7, state = 3 1 4 7 2 6 5 0
f(n) = 0g(n) = 6,h(n) = 6, state = 3 1 0 7 2 6 5 4
f(n) = 0g(n) = 7,h(n) = 5, state = 3 1 5 7 2 6 0 4
f(n) = 0g(n) = 8,h(n) = 4, state = 3 1 5 7 2 6 4 0
f(n) = 0g(n) = 8,h(n) = 4, state = 3 1 5 7 2 0 6 4
f(n) = 0g(n) = 9,h(n) = 5, state = 3 1 5 0 2 6 4 7
f(n) = 0g(n) = 9,h(n) = 5, state = 3 1 5 7 0 2 6 4
f(n) = 0g(n) = 11,h(n) = 4, state = 3 1 5 7 4 2 6 0
f(n) = 0g(n) = 12,h(n) = 5, state = 3 0 5 7 1 2 6 4
f(n) = 0g(n) = 13,h(n) = 4, state = 0 3 5 7 1 2 6 4
f(n) = 0g(n) = 14,h(n) = 3, state = 1 3 5 7 0 2 6 4
f(n) = 0g(n) = 16,h(n) = 2, state = 1 3 5 7 4 2 6 0
f(n) = 0g(n) = 15,h(n) = 2, state = 1 3 5 7 2 0 6 4
f(n) = 0g(n) = 17,h(n) = 3, state = 1 3 5 7 4 2 0 6
f(n) = 0g(n) = 17,h(n) = 3, state = 1 3 5 0 4 2 6 7
f(n) = 0g(n) = 16,h(n) = 3, state = 1 3 5 7 2 6 0 4
f(n) = 0g(n) = 17,h(n) = 2, state = 1 3 5 7 2 6 4 0
f(n) = 0g(n) = 16,h(n) = 3, state = 1 0 5 7 2 3 6 4
f(n) = 0g(n) = 18,h(n) = 3, state = 1 3 5 0 2 6 4 7
f(n) = 0g(n) = 16,h(n) = 4, state = 2 3 5 7 1 0 6 4
f(n) = 0g(n) = 18,h(n) = 4, state = 1 3 5 7 4 0 2 6
f(n) = 0g(n) = 19,h(n) = 3, state = 1 3 5 7 0 4 2 6
f(n) = 0g(n) = 18,h(n) = 4, state = 1 3 0 7 4 2 5 6
f(n) = 0g(n) = 18,h(n) = 4, state = 1 3 0 5 4 2 6 7
f(n) = 0g(n) = 17,h(n) = 4, state = 1 3 0 7 2 6 5 4
f(n) = 0g(n) = 17,h(n) = 4, state = 1 5 0 7 2 3 6 4
f(n) = 0g(n) = 17,h(n) = 4, state = 0 1 5 7 2 3 6 4
f(n) = 0g(n) = 19,h(n) = 4, state = 1 3 0 5 2 6 4 7
f(n) = 0g(n) = 21,h(n) = 4, state = 1 3 5 7 6 4 2 0
f(n) = 0g(n) = 20,h(n) = 4, state = 0 3 5 7 1 4 2 6
f(n) = 0g(n) = 12,h(n) = 5, state = 3 1 5 7 4 2 0 6
f(n) = 0g(n) = 12,h(n) = 5, state = 3 1 5 0 4 2 6 7
f(n) = 0g(n) = 16,h(n) = 5, state = 4 3 5 7 1 2 6 0
f(n) = 0g(n) = 19,h(n) = 5, state = 1 3 0 7 4 2 6 5
f(n) = 0g(n) = 19,h(n) = 5, state = 1 3 5 7 0 6 4 2
f(n) = 0g(n) = 20,h(n) = 5, state = 1 3 0 7 2 6 4 5
f(n) = 0g(n) = 17,h(n) = 5, state = 2 3 5 7 1 6 0 4
f(n) = 0g(n) = 18,h(n) = 4, state = 2 3 5 7 1 6 4 0
f(n) = 0g(n) = 17,h(n) = 5, state = 2 0 5 7 1 3 6 4
f(n) = 0g(n) = 19,h(n) = 5, state = 1 0 5 7 4 3 2 6
f(n) = 0g(n) = 19,h(n) = 5, state = 1 3 7 0 4 2 5 6
f(n) = 0g(n) = 19,h(n) = 5, state = 1 0 3 7 4 2 5 6
f(n) = 0g(n) = 19,h(n) = 5, state = 1 0 3 5 4 2 6 7
f(n) = 0g(n) = 19,h(n) = 5, state = 1 3 6 5 4 2 0 7
f(n) = 0g(n) = 18,h(n) = 5, state = 1 3 7 0 2 6 5 4
f(n) = 0g(n) = 18,h(n) = 5, state = 1 0 3 7 2 6 5 4
f(n) = 0g(n) = 18,h(n) = 5, state = 1 5 7 0 2 3 6 4
f(n) = 0g(n) = 18,h(n) = 5, state = 1 5 6 7 2 3 0 4
f(n) = 0g(n) = 19,h(n) = 4, state = 1 5 6 7 2 3 4 0
f(n) = 0g(n) = 22,h(n) = 4, state = 1 5 0 7 2 3 4 6
f(n) = 0g(n) = 23,h(n) = 3, state = 1 0 5 7 2 3 4 6
f(n) = 0g(n) = 24,h(n) = 2, state = 1 3 5 7 2 0 4 6
f(n) = 0g(n) = 25,h(n) = 1, state = 1 3 5 7 2 4 0 6
