f(n) = 0g(n) = 0,h(n) = 7, state = 1 4 3 9 6 7 0 5 2 8
f(n) = 0g(n) = 1,h(n) = 6, state = 1 4 3 9 6 0 7 5 2 8
f(n) = 0g(n) = 4,h(n) = 5, state = 1 4 3 9 6 6 7 5 2 0
f(n) = 0g(n) = 7,h(n) = 5, state = 1 4 3 0 6 6 7 5 2 9
f(n) = 0g(n) = 5,h(n) = 5, state = 1 4 3 9 6 6 7 5 0 2
f(n) = 0g(n) = 6,h(n) = 4, state = 1 4 3 0 6 6 7 5 9 2
f(n) = 0g(n) = 9,h(n) = 4, state = 1 4 3 5 6 6 7 0 9 2
f(n) = 0g(n) = 9,h(n) = 4, state = 1 4 3 2 6 6 7 5 9 0
f(n) = 0g(n) = 7,h(n) = 4, state = 1 4 3 6 0 6 7 5 9 2
f(n) = 0g(n) = 12,h(n) = 4, state = 1 0 3 5 6 6 7 4 9 2
f(n) = 0g(n) = 10,h(n) = 4, state = 1 4 3 2 0 6 7 5 9 6
f(n) = 0g(n) = 8,h(n) = 4, state = 1 4 3 6 2 6 7 5 9 0
f(n) = 0g(n) = 11,h(n) = 4, state = 1 4 3 0 2 6 7 5 9 6
f(n) = 0g(n) = 14,h(n) = 4, state = 1 4 3 5 2 6 7 0 9 6
f(n) = 0g(n) = 17,h(n) = 4, state = 1 0 3 5 2 6 7 4 9 6
f(n) = 0g(n) = 5,h(n) = 5, state = 1 4 3 9 0 6 7 5 2 6
f(n) = 0g(n) = 10,h(n) = 5, state = 1 4 3 5 6 6 7 0 2 9
f(n) = 0g(n) = 8,h(n) = 5, state = 1 4 3 6 0 6 7 5 2 9
f(n) = 0g(n) = 8,h(n) = 5, state = 1 4 3 2 6 6 7 5 0 9
f(n) = 0g(n) = 8,h(n) = 5, state = 1 4 3 9 0 6 7 5 6 2
f(n) = 0g(n) = 6,h(n) = 5, state = 1 4 3 9 6 6 7 0 5 2
f(n) = 0g(n) = 7,h(n) = 5, state = 1 4 0 3 6 6 7 5 9 2
f(n) = 0g(n) = 10,h(n) = 5, state = 1 4 3 5 6 6 7 9 0 2
f(n) = 0g(n) = 10,h(n) = 5, state = 1 4 3 5 6 6 0 7 9 2
f(n) = 0g(n) = 10,h(n) = 5, state = 1 4 0 5 6 6 7 3 9 2
f(n) = 0g(n) = 11,h(n) = 5, state = 1 4 3 2 6 0 7 5 9 6
f(n) = 0g(n) = 12,h(n) = 5, state = 0 4 3 2 6 6 7 5 9 1
f(n) = 0g(n) = 15,h(n) = 4, state = 1 4 3 2 0 6 7 5 9 1
f(n) = 0g(n) = 16,h(n) = 4, state = 1 4 3 0 2 6 7 5 9 1
f(n) = 0g(n) = 16,h(n) = 4, state = 1 4 3 2 1 6 7 5 9 0
f(n) = 0g(n) = 19,h(n) = 4, state = 1 4 3 5 2 6 7 0 9 1
f(n) = 0g(n) = 19,h(n) = 4, state = 1 4 3 1 2 6 7 5 9 0
f(n) = 0g(n) = 19,h(n) = 4, state = 1 4 3 0 1 6 7 5 9 2
f(n) = 0g(n) = 22,h(n) = 4, state = 1 0 3 5 2 6 7 4 9 1
f(n) = 0g(n) = 20,h(n) = 4, state = 1 4 3 1 0 6 7 5 9 2
f(n) = 0g(n) = 22,h(n) = 4, state = 1 4 3 5 1 6 7 0 9 2
f(n) = 0g(n) = 25,h(n) = 4, state = 1 0 3 5 1 6 7 4 9 2
f(n) = 0g(n) = 9,h(n) = 5, state = 0 4 3 6 1 6 7 5 9 2
f(n) = 0g(n) = 15,h(n) = 5, state = 1 6 3 5 6 0 7 4 9 2
f(n) = 0g(n) = 18,h(n) = 4, state = 1 6 3 5 6 6 7 4 9 0
f(n) = 0g(n) = 21,h(n) = 4, state = 1 6 3 0 6 6 7 4 9 5
f(n) = 0g(n) = 24,h(n) = 3, state = 1 6 3 4 6 6 7 0 9 5
f(n) = 0g(n) = 27,h(n) = 3, state = 1 0 3 4 6 6 7 6 9 5
f(n) = 0g(n) = 19,h(n) = 4, state = 1 6 3 5 0 6 7 4 9 6
f(n) = 0g(n) = 20,h(n) = 3, state = 1 6 3 0 5 6 7 4 9 6
f(n) = 0g(n) = 23,h(n) = 2, state = 1 6 3 4 5 6 7 0 9 6
f(n) = 0g(n) = 26,h(n) = 2, state = 1 0 3 4 5 6 7 6 9 6
f(n) = 0g(n) = 23,h(n) = 3, state = 1 6 3 6 5 6 7 4 9 0
f(n) = 0g(n) = 24,h(n) = 3, state = 1 6 3 4 5 6 7 9 0 6
f(n) = 0g(n) = 24,h(n) = 3, state = 1 6 3 4 5 6 0 7 9 6
f(n) = 0g(n) = 24,h(n) = 3, state = 1 6 0 4 5 6 7 3 9 6
f(n) = 0g(n) = 29,h(n) = 3, state = 1 6 3 4 5 0 7 6 9 6
f(n) = 0g(n) = 27,h(n) = 3, state = 1 3 0 4 5 6 7 6 9 6
f(n) = 0g(n) = 27,h(n) = 3, state = 0 1 3 4 5 6 7 6 9 6
f(n) = 0g(n) = 27,h(n) = 3, state = 1 7 3 4 5 6 0 6 9 6
f(n) = 0g(n) = 25,h(n) = 3, state = 1 6 3 4 5 6 7 9 6 0
f(n) = 0g(n) = 25,h(n) = 3, state = 1 0 3 4 5 6 6 7 9 6
f(n) = 0g(n) = 25,h(n) = 3, state = 1 0 6 4 5 6 7 3 9 6
f(n) = 0g(n) = 32,h(n) = 3, state = 1 6 3 4 5 5 7 6 9 0
f(n) = 0g(n) = 28,h(n) = 3, state = 1 3 6 4 5 6 7 0 9 6
f(n) = 0g(n) = 28,h(n) = 3, state = 1 7 3 4 5 6 6 0 9 6
f(n) = 0g(n) = 34,h(n) = 3, state = 1 6 3 4 5 0 7 6 9 5
f(n) = 0g(n) = 37,h(n) = 2, state = 1 0 3 4 5 6 7 6 9 5
f(n) = 0g(n) = 40,h(n) = 2, state = 1 6 3 4 5 6 7 0 9 5
f(n) = 0g(n) = 38,h(n) = 3, state = 1 3 0 4 5 6 7 6 9 5
f(n) = 0g(n) = 38,h(n) = 3, state = 0 1 3 4 5 6 7 6 9 5
f(n) = 0g(n) = 38,h(n) = 3, state = 1 7 3 4 5 6 0 6 9 5
f(n) = 0g(n) = 43,h(n) = 3, state = 1 6 3 0 5 6 7 4 9 5
f(n) = 0g(n) = 41,h(n) = 3, state = 1 6 3 4 5 6 7 9 0 5
f(n) = 0g(n) = 41,h(n) = 3, state = 1 6 3 4 5 6 0 7 9 5
f(n) = 0g(n) = 41,h(n) = 3, state = 1 6 0 4 5 6 7 3 9 5
f(n) = 0g(n) = 39,h(n) = 3, state = 1 3 6 4 5 6 7 0 9 5
f(n) = 0g(n) = 39,h(n) = 3, state = 1 7 3 4 5 6 6 0 9 5
f(n) = 0g(n) = 46,h(n) = 3, state = 1 6 3 5 5 6 7 4 9 0
f(n) = 0g(n) = 42,h(n) = 3, state = 1 6 3 4 5 6 7 9 5 0
f(n) = 0g(n) = 42,h(n) = 3, state = 1 0 3 4 5 6 6 7 9 5
f(n) = 0g(n) = 42,h(n) = 3, state = 1 0 6 4 5 6 7 3 9 5
